Index,Customer Id,First Name,Country,Phone 1
1,DD37Cf93aecA6Dc,Sheryl,Chile,229.077.5154
2,1Ef7b82A4CAAD10,Preston,Djibouti,5153435776
3,6F94879bDAfE5a6,Roy,Antigua and Barbuda,-1199
4,5Cef8BFA16c5e3c,Linda,Dominican Republic,001-808-617-6467x12895
5,053d585Ab6b3159,Joanna,Slovakia (Slovak Republic),001-234-203-0635x76146
6,2d08FB17EE273F4,Aimee,Bosnia and Herzegovina,(283)437-3886x88321
7,EA4d384DfDbBf77,Darren,Pitcairn Islands,(496)452-6181x3291
8,0e04AFde9f225dE,Brett,Bulgaria,001-583-352-7197x297
9,C2dE4dEEc489ae0,Sheryl,Cyprus,854-138-4911x5772
10,8C2811a503C7c5a,Michelle,Timor-Leste,739.218.2516x459
